link,Name,Brand,fl_oz,calories,Caffeine,mg/floz,Type,pic_link
/caffeine-content/balance-energy,Balance Energy Shot,other,2,77,150,75,Energy Shot,https://www.caffeineinformer.com/wp-content/caffeine/balance-energy.jpg
/caffeine-content/bang-energy-drink,Bang Energy,other,16,0,300,18.8,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bang-energy-drink.jpg
/caffeine-content/bang-keto-coffee,Bang Keto Coffee,other,16,130,300,18.8,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bang-keto-coffee.jpg
/caffeine-content/bang-natural,Bang Natural,other,16,0,250,15.6,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bang-natural.jpg
/caffeine-content/bang-shot,Bang Shot,other,3,0,300,100,Energy Shot,https://www.caffeineinformer.com/wp-content/caffeine/bang-shot.jpg
/caffeine-content/bang-tea,Bang Sweet Tea,other,16,0,300,18.8,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bang-tea.jpg
/caffeine-content/barista-bros,Barista Bros Iced Coffee,other,16.91,204,140,8.3,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/barista-bros.jpg
/caffeine-content/barqs-red-creme-soda,Barqs Red Creme Soda,other,12,170,0,0,Soda,https://www.caffeineinformer.com/wp-content/caffeine/barqs-red-creme-soda.jpg
/caffeine-content/barqs-root-beer,Barqs Root Beer,other,12,160,22,1.8,Soda,https://www.caffeineinformer.com/wp-content/caffeine/barqs-root-beer.jpg
/caffeine-content/baskin-robbins-cappuccino-blast,Baskin Robbins Cappuccino Blast,other,24,470,234,9.8,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/baskin-robbins-cappuccino-blast.jpg
/caffeine-content/bawls,Bawls,other,16,190,102,6.4,Soda,https://www.caffeineinformer.com/wp-content/caffeine/bawls.jpg
/caffeine-content/be-beyond-energy,BE Beyond Energy Drink,other,12,15,160,13.3,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/be-beyond-energy.jpg
/caffeine-content/beaver-buzz-energy-drink,Beaver Buzz Energy Drink,other,16,240,178,11.1,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/beaver-buzz-energy-drink.jpg
/caffeine-content/beebad-energy-drink,BEEBAD Energy Drink,other,8.46,110,80,9.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/beebad-energy-drink.jpg
/caffeine-content/berocca,Berocca,other,8,5,90,11.2,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/berocca.jpg
/caffeine-content/berzerk,Berzerk Energy Drink Mix,other,16,5,200,12.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/berzerk.jpg
/caffeine-content/best-choice-energy-drink-mix,Best Choice Strawberry Energy Drink Mix,other,8,5,120,15,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/best-choice-energy-drink-mix.jpg
/caffeine-content/big-red-soda,Big Red Soda,other,12,150,34,2.8,Soda,https://www.caffeineinformer.com/wp-content/caffeine/big-red-soda.jpg
/caffeine-content/big-train-java-chip-ice-coffee,Big Train Java Chip Ice Coffee,other,12,410,49,4.1,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/big-train-java-chip-ice-coffee.jpg
/caffeine-content/big-train-spiced-chai,Big Train Spiced Chai,other,8,210,65,8.1,Tea,https://www.caffeineinformer.com/wp-content/caffeine/big-train-spiced-chai.jpg
/caffeine-content/bigelow-tea,Bigelow Tea,other,8,0,45,5.6,Tea,https://www.caffeineinformer.com/wp-content/caffeine/bigelow-tea.jpg
/caffeine-content/biggby-coffee,Biggby Brewed Coffee,other,16,0,200,12.5,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/biggby-coffee.jpg
/caffeine-content/biggby-coffee-latte,Biggby Creamy Lattes,other,16,387,100,6.2,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/biggby-coffee-latte.jpg
/caffeine-content/biggby-espresso-shot,Biggby Espresso,other,2,0,100,50,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/biggby-espresso-shot.jpg
/caffeine-content/biggby-iced-coffee,Biggby Iced Coffee,other,16,0,155,9.7,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/biggby-iced-coffee.jpg
/caffeine-content/biggby-iced-tea,Biggby Iced Tea,other,16,0,38,2.4,Tea,https://www.caffeineinformer.com/wp-content/caffeine/biggby-iced-tea.jpg
/caffeine-content/bing-energy-drink,Bing Energy Drink,other,12,30,120,10,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bing-energy-drink.jpg
/caffeine-content/biohazard-coffee,Biohazard Coffee,other,12,3,928,77.3,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/biohazard-coffee.jpg
/caffeine-content/bizzy-coffee,Bizzy Cold Brew,other,2.67,0,125,46.8,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/bizzy-coffee.jpg
/caffeine-content/black-bruin-energy-drink,Black Bruin Energy Drink,other,8.46,122,38,4.4,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/black-bruin-energy-drink.jpg
/caffeine-content/black-ink-coffee,Black Ink Coffee,other,12,0,144,12,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/black-ink-coffee.jpg
/caffeine-content/black-insomnia-coffee,Black Insomnia Coffee,other,12,0,1105,92.1,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/black-insomnia-coffee.jpg
/caffeine-content/black-label,Black Label Brewed Coffee,other,12,0,1555,129.6,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/black-label.jpg
/caffeine-content/blu-frog-energy-drink,Blu Frog Energy Drink,other,8.46,90,80,9.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/blu-frog-energy-drink.jpg
/caffeine-content/blue-bolt-energy-drink,Blue Bolt (UK),other,8.46,112,80,9.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/blue-bolt-energy-drink.jpg
/caffeine-content/asda-blue-charge,Blue Charge (UK),other,8.46,49,80,9.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/asda-blue-charge.jpg
/caffeine-content/tesco-blue-spark,Blue Spark (UK),other,8.46,56,75,8.9,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/tesco-blue-spark.jpg
/caffeine-content/bodyarmour-edge,Bodyarmour Edge,other,20,180,100,5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bodyarmour-edge.jpg
/caffeine-content/bomb-energy-drink,Bomb Energy Drink,other,8.46,0,80,9.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bomb-energy-drink.jpg
/caffeine-content/bomba-energy-drink,Bomba (EU),other,8.4,123,80,9.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bomba-energy-drink.jpg
/caffeine-content/boost-energy-drink,Boost Energy (UK),other,8.46,58,80,9.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/boost-energy-drink.jpg
/caffeine-content/boost-chocolate-drink,Boost Nutritional Drink,other,8,240,5,0.6,Soda,https://www.caffeineinformer.com/wp-content/caffeine/boost-chocolate-drink.jpg
/caffeine-content/iced-coffee-bottled-dunkin,Bottled Iced Coffee Dunkin Donuts,other,13.7,260,197,14.4,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/iced-coffee-bottled-dunkin.jpg
/caffeine-content/brein-fuel-energy-drink,BreinFuel ,other,12,60,360,30,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/brein-fuel-energy-drink.jpg
/caffeine-content/brew-dr-uplift,Brew Dr Kombucha Uplift,other,14,80,130,9.3,Tea,https://www.caffeineinformer.com/wp-content/caffeine/brew-dr-uplift.jpg
/caffeine-content/lipton-brisk-lemon,Brisk Iced Tea,other,12,70,11,0.9,Tea,https://www.caffeineinformer.com/wp-content/caffeine/lipton-brisk-lemon.jpg
/caffeine-content/brown-rice-tea,Brown Rice Tea,other,8,0,4,0.5,Tea,https://www.caffeineinformer.com/wp-content/caffeine/brown-rice-tea.jpg
/caffeine-content/bubblr,Bubbl'r Sparkling Water,other,12,5,69,5.8,Water,https://www.caffeineinformer.com/wp-content/caffeine/bubblr.jpg
/caffeine-content/bubly-bounce,Bubly Bounce Sparkling Water,other,12,0,35,2.9,Water,https://www.caffeineinformer.com/wp-content/caffeine/bubly-bounce.jpg
/caffeine-content/bubly,Bubly Sparkling Water,other,12,0,0,0,Water,https://www.caffeineinformer.com/wp-content/caffeine/bubly.jpg
/caffeine-content/bucked-up,Bucked Up,other,16,0,300,18.8,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bucked-up.jpg
/caffeine-content/bulletproof-coffee,Bulletproof Coffee,other,8,0,145,18.1,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/bulletproof-coffee.jpg
/caffeine-content/burn-uk,Burn Energy Drink,other,12,163,112,9.3,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/burn-uk.jpg
/caffeine-content/c4-on-the-go,C4 On The Go,C4,12,0,200,16.7,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/c4-on-the-go.jpg
/caffeine-content/c4-energy-drink,C4 Performance Energy,C4,16,0,200,12.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/c4-energy-drink.jpg
/caffeine-content/c4-smart-energy,C4 Smart Energy Drink,C4,16,0,200,12.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/c4-smart-energy.jpg
/caffeine-content/c4-ultimate,C4 Ultimate Energy Drink,C4,16,0,300,18.8,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/c4-ultimate.jpg
/caffeine-content/bustelo-coffee,Cafe Bustelo,other,12,0,150,12.5,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/bustelo-coffee.jpg
/caffeine-content/cafe-con-leche,Cafe Con Leche,other,6,56,154,25.7,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/cafe-con-leche.jpg
/caffeine-content/cafe-mocha,Caffe Mocha,other,12,239,152,12.7,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/cafe-mocha.jpg
/caffeine-content/caffe-nero-coffee,Caffe Nero Coffee,other,12,5,160,13.3,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/caffe-nero-coffee.jpg
